SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-17-2014,Single Family Residential,1335 BATES Rd,Oakland,CA,94610-2538,760000,2,1.0,Crocker Hghlands,1213,2706,1925,997,627,13,Sold,,,http://www.redfin.com/CA/Oakland/1335-Bates-Rd-94610/home/535432,EBRD/CCAR/Bay East,40666457,N,Y,37.8063873,-122.2276805
PAST SALE,April-14-2015,Single Family Residential,1084 TRESTLE GLEN Rd,Oakland,CA,94610,1435000,4,3.0,Crocker Hghlands,2567,7520,1925,788,559,14,Sold,,,http://www.redfin.com/CA/Oakland/1084-Trestle-Glen-Rd-94610/home/866529,EBRD/CCAR/Bay East,40691077,N,Y,37.8072718,-122.2340987
PAST SALE,July-10-2015,Single Family Residential,919 LONGRIDGE Rd,Oakland,CA,94610,1800000,4,4.0,Crocker Hghlands,2668,7696,1927,701,675,16,Sold,,,http://www.redfin.com/CA/Oakland/919-Longridge-Rd-94610/home/1963707,EBRD/CCAR/Bay East,40703999,N,Y,37.8096154,-122.23357
PAST SALE,August-19-2016,Single Family Residential,3965 GREENWOOD Ave,Oakland,CA,94602,1050000,4,2.0,Glenview,2156,4325,1912,295,487,,Sold,,,http://www.redfin.com/CA/Oakland/3965-Greenwood-Ave-94602/home/866429,EBRD/CCAR/Bay East,40747992,Y,Y,37.8065372,-122.2269486
PAST SALE,February-20-2015,Single Family Residential,1048 UNDERHILLS Rd,Oakland,CA,94610-2529,967777,3,1.0,Crocker Hghlands,1607,4896,1935,841,602,14,Sold,,,http://www.redfin.com/CA/Oakland/1048-Underhills-Rd-94610/home/1355456,EBRD/CCAR/Bay East,40683426,N,Y,37.8094575,-122.227684
PAST SALE,September-30-2014,Single Family Residential,1569 TRESTLE GLEN Rd,Oakland,CA,94610-1841,1100000,4,2.0,Crocker Hghlands,2856,11648,1928,984,385,,Sold,,,http://www.redfin.com/CA/Oakland/1569-Trestle-Glen-Rd-94610/home/1495701,EBRD/CCAR/Bay East,40667318,N,Y,37.8104544,-122.2229819
PAST SALE,,Single Family Residential,815 Longridge Rd,Oakland,CA,94610,1612500,4,3.0,,2626,6018,1938,,614,,,,,http://www.redfin.com/CA/Oakland/815-Longridge-Rd-94610/home/1586474,,,N,Y,37.8091982,-122.2368102
PAST SALE,February-24-2016,Single Family Residential,845 NORTHVALE Rd,Oakland,CA,94610,1100000,3,3.0,Crocker Hghlands,2197,4998,1961,472,501,15,Sold,,,http://www.redfin.com/CA/Oakland/845-Northvale-Rd-94610/home/1936067,EBRD/CCAR/Bay East,40726734,N,Y,37.8078984,-122.2357556
PAST SALE,May-9-2016,Single Family Residential,1079 UNDERHILLS Rd,Oakland,CA,94610,1420000,4,2.0,Crocker Hghlands,2028,7828,1929,397,700,15,Sold,,,http://www.redfin.com/CA/Oakland/1079-Underhills-Rd-94610/home/1421413,EBRD/CCAR/Bay East,40732005,N,Y,37.8098867,-122.2268798
PAST SALE,November-22-2016,Single Family Residential,939 HILLCROFT Cir,Oakland,CA,94610,1355000,4,3.0,Crocker Hghlands,2261,5500,1927,200,599,14,Sold,,,http://www.redfin.com/CA/Oakland/939-Hillcroft-Cir-94610/home/1605729,EBRD/CCAR/Bay East,40758195,N,Y,37.8078981,-122.2322623
