SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-12-2014,Single Family Residential,5429 Belgrave Pl,Oakland,CA,94618-1743,1400000,2,2.0,College Avenue,1556,4000,1924,911,900,,Sold,,,http://www.redfin.com/CA/Oakland/5429-Belgrave-Pl-94618/home/1386996,EBRD/CCAR/Bay East,40679997,N,Y,37.8394971,-122.2474165
PAST SALE,,Multi-Family (2-4 Unit),5606 Taft Ave,Oakland,CA,94618,1775000,2,,,4812,4240,1922,,369,,,,,http://www.redfin.com/CA/Oakland/5606-Taft-Ave-94618/home/631853,,,N,Y,37.8436503,-122.2470654
PAST SALE,January-9-2015,Single Family Residential,5947 KEITH Ave,Oakland,CA,94618-1545,750000,3,2.0,Rockridge,1432,4480,1920,883,524,,Sold,,,http://www.redfin.com/CA/Oakland/5947-Keith-Ave-94618/home/1963288,EBRD/CCAR/Bay East,40683669,N,Y,37.846051,-122.246167
PAST SALE,,Condo/Co-op,5340 Broadway Ter Apt 207,Oakland,CA,94618,110000,2,2.0,,1041,,1971,,106,,,,,http://www.redfin.com/CA/Oakland/5340-Broadway-Ter-94618/unit-207/home/910718,,,N,Y,37.8380304,-122.2477474
PAST SALE,August-15-2016,Single Family Residential,5577 TAFT Ave,Oakland,CA,94618,1640000,2,2.0,Rockridge,1960,4240,1912,299,837,,Sold,,,http://www.redfin.com/CA/Oakland/5577-Taft-Ave-94618/home/1842344,EBRD/CCAR/Bay East,40750519,N,Y,37.842828,-122.247979
PAST SALE,May-12-2015,Single Family Residential,6307 BROOKSIDE Ave,Oakland,CA,94618,1800000,4,3.0,Upper Rockridge,2674,6954,1929,760,673,,Sold,,,http://www.redfin.com/CA/Oakland/6307-Brookside-Ave-94618/home/1287949,EBRD/CCAR/Bay East,40694044,N,Y,37.847163,-122.239263
PAST SALE,November-17-2016,Single Family Residential,5412 LAWTON Ave,Oakland,CA,94618,1471000,3,2.0,Rockridge,1558,3400,1915,205,944,,Sold,,,http://www.redfin.com/CA/Oakland/5412-Lawton-Ave-94618/home/529729,EBRD/CCAR/Bay East,40760014,Y,Y,37.8409506,-122.2524414
PAST SALE,May-26-2016,Single Family Residential,166 ALPINE Ter,Oakland,CA,94618,1610000,3,3.0,Upper Rockridge,2285,6840,1994,380,705,,Sold,,,http://www.redfin.com/CA/Oakland/166-Alpine-Ter-94618/home/1761837,EBRD/CCAR/Bay East,40736313,N,Y,37.8456553,-122.238662
PAST SALE,March-19-2015,Single Family Residential,6015 MANCHESTER Dr,Oakland,CA,94618-1832,2180000,5,4.5,Upper Rockridge,3722,5810,1994,814,586,,Sold,,,http://www.redfin.com/CA/Oakland/6015-Manchester-Dr-94618/home/607499,EBRD/CCAR/Bay East,40686805,N,Y,37.8458406,-122.2403753
PAST SALE,April-25-2016,Single Family Residential,5954 Ocean Vw,Oakland,CA,94618,1249000,2,2.0,Upper Rockridge,2065,5664,1935,411,605,,Sold,,,http://www.redfin.com/CA/Oakland/5954-Ocean-View-Dr-94618/home/1533596,EBRD/CCAR/Bay East,40730131,N,Y,37.846292,-122.244115
PAST SALE,February-5-2015,Single Family Residential,5360 Locksley Ave,Oakland,CA,94618,1050000,2,1.0,Rockridge,,3300,1912,856,,,Sold,,,http://www.redfin.com/CA/Oakland/5360-Locksley-Ave-94618/home/530451,EBRD/CCAR/Bay East,40684134,N,Y,37.841185,-122.2554315
PAST SALE,July-28-2016,Single Family Residential,5651 Oak Grove Ave,Oakland,CA,94618,1340000,4,2.0,Rockridge,2213,4995,1913,317,606,,Sold,,,http://www.redfin.com/CA/Oakland/5651-Oak-Grove-Ave-94618/home/1164102,EBRD/CCAR/Bay East,40745535,N,Y,37.8453122,-122.2544819
PAST SALE,March-5-2015,Condo/Co-op,5351 BELGRAVE Pl Unit 2B,Oakland,CA,94618-1700,800000,2,2.0,Rockridge,1414,,1979,828,566,510,Sold,,,http://www.redfin.com/CA/Oakland/5351-Belgrave-Pl-94618/unit-2B/home/105429917,EBRD/CCAR/Bay East,40677564,N,Y,37.8377843,-122.248511
PAST SALE,September-26-2014,Condo/Co-op,5340 Broadway Ter #302,Oakland,CA,94618-1421,449000,2,2.0,Rockridge,996,,1971,988,451,335,Sold,,,http://www.redfin.com/CA/Oakland/5340-Broadway-Ter-94618/unit-302/home/661655,EBRD/CCAR/Bay East,40660771,N,Y,37.8380304,-122.2477474
PAST SALE,May-28-2015,Single Family Residential,5978 MARGARIDO Dr,Oakland,CA,94618,1595000,3,3.0,Rockridge Upper,2203,5200,1926,744,724,,Sold,,,http://www.redfin.com/CA/Oakland/5978-Margarido-Dr-94618/home/1700204,EBRD/CCAR/Bay East,40694617,N,Y,37.8457496,-122.2406284
PAST SALE,August-22-2016,Single Family Residential,5525 Taft Ave,Oakland,CA,94618,1400000,3,2.0,Rockridge,1600,4240,1911,292,875,,Sold,,,http://www.redfin.com/CA/Oakland/5525-Taft-Ave-94618/home/1251022,EBRD/CCAR/Bay East,40748995,Y,Y,37.8421838,-122.2497102
PAST SALE,September-24-2014,Single Family Residential,5426 Bryant Ave,Oakland,CA,94618-1432,750000,2,1.0,Rockridge,950,3000,1916,990,789,,Sold,,,http://www.redfin.com/CA/Oakland/5426-Bryant-Ave-94618/home/1608223,EBRD/CCAR/Bay East,40670183,N,Y,37.8405019,-122.2494091
PAST SALE,October-31-2014,Single Family Residential,5371 BROADWAY,Oakland,CA,94618-1427,830000,2,2.0,Rockridge,1175,3000,1914,953,706,,Sold,,,http://www.redfin.com/CA/Oakland/5371-Broadway-94618/home/1809708,EBRD/CCAR/Bay East,40673469,N,Y,37.838761,-122.250074
PAST SALE,March-14-2016,Single Family Residential,5401 BELGRAVE Pl,Oakland,CA,94618,1409500,4,3.0,Rockridge,2599,4000,1916,453,542,,Sold,,,http://www.redfin.com/CA/Oakland/5401-Belgrave-Pl-94618/home/1995459,EBRD/CCAR/Bay East,40727721,N,Y,37.8387939,-122.2478219
PAST SALE,October-15-2015,Single Family Residential,5371 SHAFTER Ave,Oakland,CA,94618,1060000,2,1.0,Rockridge,1252,3500,1910,604,847,,Sold,,,http://www.redfin.com/CA/Oakland/5371-Shafter-Ave-94618/home/1249692,EBRD/CCAR/Bay East,40715232,N,Y,37.8411632,-122.2549605
PAST SALE,December-28-2015,Single Family Residential,5370 Shafter,Oakland,CA,94618,1250000,3,1.0,College Avenue,1352,4000,1922,530,925,,Sold,,,http://www.redfin.com/CA/Oakland/5370-Shafter-Ave-94618/home/617128,EBRD/CCAR/Bay East,40724888,N,Y,37.8409156,-122.2545762
PAST SALE,November-5-2014,Single Family Residential,5470 BOYD Ave,Oakland,CA,94618-1115,1380000,5,2.0,Rockridge,2292,4000,1912,948,602,,Sold,,,http://www.redfin.com/CA/Oakland/5470-Boyd-Ave-94618/home/1397750,EBRD/CCAR/Bay East,40676760,N,Y,37.8423489,-122.2523931
PAST SALE,,Single Family Residential,5620 Broadway,Oakland,CA,94618,68500,2,1.0,,1230,3430,1918,,56,,,,,http://www.redfin.com/CA/Oakland/5620-Broadway-94618/home/1590146,,,N,Y,37.8419346,-122.2473638
PAST SALE,April-5-2016,Condo/Co-op,5351 BELGRAVE Pl Unit 1A,Oakland,CA,94618,530000,1,1.0,Broadway Terrace,764,764,1979,431,694,268,Sold,,,http://www.redfin.com/CA/Oakland/5351-Belgrave-Pl-94618/unit-1A/home/605585,EBRD/CCAR/Bay East,40730076,N,Y,37.8377843,-122.248511
PAST SALE,August-17-2015,Single Family Residential,5303 LAWTON Ave,Oakland,CA,94618,1770000,4,2.0,Rockridge,2309,4000,1913,663,767,,Sold,,,http://www.redfin.com/CA/Oakland/5303-Lawton-Ave-94618/home/1962290,EBRD/CCAR/Bay East,40706850,N,Y,37.839083,-122.254606
PAST SALE,,Single Family Residential,5508 Kales Ave,Oakland,CA,94618,800000,2,1.0,,1076,4240,1914,,743,,,,,http://www.redfin.com/CA/Oakland/5508-Kales-Ave-94618/home/1466070,,,N,Y,37.8417906,-122.2497554
PAST SALE,April-5-2017,Single Family Residential,5517 Lawton Ave,Oakland,CA,94618,2400000,4,2.5,Rockridge,2270,4240,1911,66,1057,,Sold,,,http://www.redfin.com/CA/Oakland/5517-Lawton-Ave-94618/home/1924712,EBRD/CCAR/Bay East,40771821,N,Y,37.8425492,-122.2509989
