SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,460 Crescent St,Oakland,CA,94610,470000,2,2.0,,1367,,1971,,344,,,,,http://www.redfin.com/CA/Oakland/460-Crescent-St-94610/home/1992248,,,N,Y,37.8132869,-122.2498653
PAST SALE,June-17-2014,Multi-Family (2-4 Unit),372 Santa Clara Ave,Oakland,CA,94610,733500,4,2.0,Oakland,2317,4059,1914,1089,317,,Sold,,,http://www.redfin.com/CA/Oakland/372-Santa-Clara-Ave-94610/home/607101,EBRD/CCAR/Bay East,40654110,N,Y,37.813558,-122.2480842
PAST SALE,January-3-2017,Condo/Co-op,3877 Howe St #304,Oakland,CA,94611,415000,1,1.0,Arcadia,684,14000,1965,158,607,361,Sold,,,http://www.redfin.com/CA/Oakland/3877-Howe-St-94611/unit-304/home/1255776,EBRD/CCAR/Bay East,40763586,N,Y,37.8261665,-122.2549678
PAST SALE,November-15-2016,Condo/Co-op,407 ORANGE St #106,Oakland,CA,94610,370000,1,1.0,Adams Point,945,,1970,207,392,461,Sold,,,http://www.redfin.com/CA/Oakland/407-Orange-St-94610/unit-106/home/525929,EBRD/CCAR/Bay East,40758281,N,Y,37.8172922,-122.2548817
PAST SALE,,Condo/Co-op,565 Bellevue Ave Apt 1506,Oakland,CA,94610,915000,2,2.0,,1243,,1969,,736,,,,,http://www.redfin.com/CA/Oakland/565-Bellevue-Ave-94610/unit-1506/home/1647784,,,N,Y,37.8078112,-122.2557781
PAST SALE,December-12-2014,Condo/Co-op,389 Belmont St #210,Oakland,CA,94610-4868,475000,2,2.0,Adams Point,1067,21300,1983,911,445,387,Sold,,,http://www.redfin.com/CA/Oakland/389-Belmont-St-94610/unit-210/home/1700901,EBRD/CCAR/Bay East,40680320,N,Y,37.8094309,-122.254253
PAST SALE,August-18-2016,Single Family Residential,19 RAMONA Ave,Oakland,CA,94611,1600000,3,2.5,Piedmont Avenue,1940,3600,1924,296,825,,Sold,,,http://www.redfin.com/CA/Piedmont/19-Ramona-Ave-94611/home/1194804,EBRD/CCAR/Bay East,40747055,N,Y,37.831213,-122.245179
PAST SALE,January-20-2017,Condo/Co-op,4902 Broadway #102,Oakland,CA,94611,650000,1,1.5,Lower Rockridge,1328,,2005,141,489,411,Sold,,,http://www.redfin.com/CA/Oakland/4902-Broadway-94611/unit-102/home/2113439,EBRD/CCAR/Bay East,40763825,N,Y,37.833589,-122.252526
PAST SALE,April-29-2016,Condo/Co-op,4101 Howe St #308,Oakland,CA,94611,490000,1,1.0,Piedmont Avenue,800,,1966,407,613,219,Sold,,,http://www.redfin.com/CA/Oakland/4101-Howe-St-94611/unit-308/home/1754579,EBRD/CCAR/Bay East,40734681,N,Y,37.827435,-122.253259
PAST SALE,December-4-2014,Single Family Residential,4140 MONTGOMERY St,Oakland,CA,94611-5120,853000,2,1.5,Piedmont Avenue,1207,3000,1907,919,707,,Sold,,,http://www.redfin.com/CA/Oakland/4140-Montgomery-St-94611/home/527478,EBRD/CCAR/Bay East,40678404,N,Y,37.8280716,-122.2528454
