SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-7-2015,Single Family Residential,362 60TH St,Oakland,CA,94618,1375000,3,2.0,Rockridge,1365,3750,1926,612,1007,,Sold,,,http://www.redfin.com/CA/Oakland/362-60th-St-94618/home/1455984,EBRD/CCAR/Bay East,40714770,N,Y,37.8472447,-122.2547301
PAST SALE,March-3-2015,Multi-Family (2-4 Unit),5816 Shattuck Ave,Oakland,CA,94609,560000,5,4.0,Oakland,2496,4160,1910,830,224,,Sold,,,http://www.redfin.com/CA/Oakland/5816-Shattuck-Ave-94609/home/2005003,EBRD/CCAR/Bay East,40658037,N,Y,37.8438764,-122.2646984
PAST SALE,,Single Family Residential,631 Poirier St,Oakland,CA,94609,940000,3,3.0,,1239,4160,1907,,759,,,,,http://www.redfin.com/CA/Oakland/631-Poirier-St-94609/home/1532245,,,N,Y,37.8469595,-122.2667894
PAST SALE,May-14-2015,Townhouse,492 60TH St,Oakland,CA,94609,1162232,3,3.0,Lower Rockridge,1587,925,2015,758,732,,Sold,,,http://www.redfin.com/CA/Oakland/492-60th-St-94609/home/95473098,EBRD/CCAR/Bay East,40692778,N,Y,37.8465385,-122.2607839
PAST SALE,October-27-2014,Single Family Residential,406 61ST St,Oakland,CA,94609-1305,980000,2,1.0,Rockridge,1085,4480,1909,957,903,,Sold,,,http://www.redfin.com/CA/Oakland/406-61st-St-94609/home/1992483,EBRD/CCAR/Bay East,40675921,N,Y,37.8478319,-122.2570427
PAST SALE,August-29-2016,Single Family Residential,544 59TH St,Oakland,CA,94609,963000,3,2.0,Temescal,1625,4455,1922,285,593,,Sold,,,http://www.redfin.com/CA/Oakland/544-59th-St-94609/home/1164164,EBRD/CCAR/Bay East,40749982,N,Y,37.8450557,-122.262983
PAST SALE,July-20-2016,Single Family Residential,465 65TH St,Oakland,CA,94609,1250000,3,1.5,N Oakland,1764,4025,1913,325,709,,Sold,,,http://www.redfin.com/CA/Oakland/465-65th-St-94609/home/1956961,EBRD/CCAR/Bay East,40744030,Y,Y,37.850921,-122.259312
PAST SALE,,Single Family Residential,378 63rd St,Oakland,CA,94618,225000,2,1.0,,1318,5520,1907,,171,,,,,http://www.redfin.com/CA/Oakland/378-63rd-St-94618/home/531125,,,N,Y,37.8501219,-122.2557088
PAST SALE,,Multi-Family (2-4 Unit),323 Alcatraz Ave,Oakland,CA,94618,3282000,14,14.0,,6373,5400,1962,,515,,,,,http://www.redfin.com/CA/Oakland/323-Alcatraz-Ave-94618/home/1586953,,,N,Y,37.8508597,-122.2533979
PAST SALE,September-30-2014,Condo/Co-op,434 North St,Oakland,CA,94609,690000,2,2.0,Oakland,1024,,1912,984,674,,Sold,,,http://www.redfin.com/CA/Oakland/434-North-St-94609/home/17185767,San Francisco MLS,418728,N,Y,37.8499989,-122.258025
PAST SALE,August-28-2015,Condo/Co-op,622 ALCATRAZ Ave Unit B,Oakland,CA,94609,704000,3,1.0,North Oakland,874,,1987,652,805,382,Sold,,,http://www.redfin.com/CA/Oakland/622-Alcatraz-Ave-94609/unit-B/home/12115878,EBRD/CCAR/Bay East,40708387,N,Y,37.850271,-122.263346
PAST SALE,March-16-2015,Single Family Residential,436 62nd St,Oakland,CA,94609-1313,1060000,2,1.0,Rockridge,1220,4000,1911,817,869,,Sold,,,http://www.redfin.com/CA/Oakland/436-62nd-St-94609/home/763435,EBRD/CCAR/Bay East,40686038,N,Y,37.8485203,-122.2581848
PAST SALE,December-5-2016,Single Family Residential,6111 Hillegass Ave,Oakland,CA,94618,1400000,4,3.0,Rockridge,2148,3150,1910,187,652,,Sold,,,http://www.redfin.com/CA/Oakland/6111-Hillegass-Ave-94618/home/1913530,EBRD/CCAR/Bay East,40763321,N,Y,37.8483852,-122.2546001
PAST SALE,May-19-2015,Townhouse,486 60th St,Oakland,CA,94609,1185000,3,2.5,Rockridge,1601,1141,2015,753,740,,Sold,,,http://www.redfin.com/CA/Oakland/486-60th-St-94609/home/95472922,EBRD/CCAR/Bay East,40694660,N,Y,37.8465669,-122.2605554
PAST SALE,November-24-2015,Single Family Residential,759 ALCATRAZ Ave,Oakland,CA,94609,802000,3,2.0,Berkeley Border,1214,3360,1910,564,661,,Sold,,,http://www.redfin.com/CA/Oakland/759-Alcatraz-Ave-94609/home/1688366,EBRD/CCAR/Bay East,40718216,N,Y,37.84903,-122.267474
PAST SALE,May-4-2016,Single Family Residential,6151 SHATTUCK Ave,Oakland,CA,94609,695000,2,1.0,Berkeley,1088,3008,1923,402,639,,Sold,,,http://www.redfin.com/CA/Oakland/6151-Shattuck-Ave-94609/home/1936289,EBRD/CCAR/Bay East,40730881,N,Y,37.847406,-122.265732
PAST SALE,February-4-2016,Single Family Residential,5914 DOVER St,Oakland,CA,94609,1025000,3,1.0,Nobe,1275,4000,1912,492,804,,Sold,,,http://www.redfin.com/CA/Oakland/5914-Dover-St-94609/home/530579,EBRD/CCAR/Bay East,40725861,N,Y,37.8446935,-122.267894
PAST SALE,March-10-2015,Single Family Residential,754 ALCATRAZ Ave,Oakland,CA,94609-1008,665000,3,1.0,N.Oakland,1080,3000,1918,823,616,,Sold,,,http://www.redfin.com/CA/Oakland/754-Alcatraz-Ave-94609/home/1869301,EBRD/CCAR/Bay East,40686091,N,Y,37.849509,-122.267485
PAST SALE,September-30-2015,Single Family Residential,615 63rd St,Oakland,CA,94609,1300000,4,3.0,Oak/Berk Border,2174,3744,1910,619,598,,Sold,,,http://www.redfin.com/CA/Oakland/615-63rd-St-94609/home/1924749,EBRD/CCAR/Bay East,40713194,N,Y,37.848456,-122.266156
PAST SALE,December-9-2016,Townhouse,596 58Th St,Oakland,CA,94609,875000,2,2.5,North Oakland,1401,,2014,183,625,242,Sold,,,http://www.redfin.com/CA/Oakland/596-58th-St-94609/home/1726331,EBRD/CCAR/Bay East,40762770,Y,Y,37.84384,-122.264391
PAST SALE,April-19-2016,Condo/Co-op,631 ALCATRAZ Ave,Oakland,CA,94609,785000,4,2.0,N Oakland,1449,,1913,417,542,108,Sold,,,http://www.redfin.com/CA/Oakland/631-Alcatraz-Ave-94609/home/28697271,EBRD/CCAR/Bay East,40731230,N,Y,37.849472,-122.263794
PAST SALE,November-15-2014,Multi-Family (2-4 Unit),5794 Vicente St,Oakland,CA,94609,815000,5,1.0,Temescal/R.Ridge,2352,8250,1916,938,347,,Sold,,,http://www.redfin.com/CA/Oakland/5794-Vicente-St-94609/home/607722,EBRD/CCAR/Bay East,40674826,N,Y,37.8440648,-122.259778
PAST SALE,February-3-2016,Single Family Residential,5812 Canning St,Oakland,CA,94609,1400000,3,2.0,Lower Rockridge,1496,4000,1912,493,936,,Sold,,,http://www.redfin.com/CA/Oakland/5812-Canning-St-94609/home/531700,EBRD/CCAR/Bay East,40726165,N,Y,37.8448998,-122.2589292
