SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-20-2017,Single Family Residential,412 48th St,Oakland,CA,94609,885000,2,2.0,Temescal,1338,2000,1913,82,661,133,Sold,,,http://www.redfin.com/CA/Oakland/412-48th-St-94609/home/109239547,EBRD/CCAR/Bay East,40770008,N,Y,37.8343198,-122.2592431
PAST SALE,April-14-2017,Single Family Residential,3834 West St,Oakland,CA,94608,502000,2,1.0,Oakland,1044,2860,1908,57,481,,Sold,,,http://www.redfin.com/CA/Oakland/3834-West-St-94608/home/527602,EBRD/CCAR/Bay East,40770723,N,Y,37.828286,-122.271145
PAST SALE,April-18-2017,Single Family Residential,357 50Th St,Oakland,CA,94609,940000,3,1.0,Temescal,1263,3600,1923,53,744,,Sold,,,http://www.redfin.com/CA/Oakland/357-50th-St-94609/home/1726775,EBRD/CCAR/Bay East,40774179,N,Y,37.8353021,-122.2561001
PAST SALE,,Condo/Co-op,4170 Emerald St Apt 4,Oakland,CA,94609,615000,1,1.0,,702,,1953,,876,,,,,http://www.redfin.com/CA/Oakland/4170-Emerald-St-94609/unit-4/home/28697249,,,N,Y,37.8303314,-122.2560982
PAST SALE,March-27-2017,Single Family Residential,869 43rd St,Oakland,CA,94608,660000,4,2.0,Nobe,1364,3000,1910,75,484,,Sold,,,http://www.redfin.com/CA/Oakland/869-43rd-St-94608/home/1816219,EBRD/CCAR/Bay East,40768321,N,Y,37.832681,-122.272368
PAST SALE,May-19-2017,Single Family Residential,4711 West St,Oakland,CA,94608,500500,2,1.0,Emeryville Bordr,955,3060,1921,22,524,,Sold,,,http://www.redfin.com/CA/Oakland/4711-West-St-94608/home/528967,EBRD/CCAR/Bay East,40772170,N,Y,37.8357364,-122.269863
PAST SALE,May-22-2017,Single Family Residential,4167 Opal St,Oakland,CA,94609,1175000,3,1.5,Lower Temescal,1970,4520,1912,19,596,,Sold,,,http://www.redfin.com/CA/Oakland/4167-Opal-St-94609/home/1956807,EBRD/CCAR/Bay East,40775932,N,Y,37.8302106,-122.2584829
PAST SALE,May-12-2017,Single Family Residential,519 43Rd St,Oakland,CA,94609,920000,3,2.0,Temescal,1107,2697,1910,29,831,,Sold,,,http://www.redfin.com/CA/Oakland/519-43rd-St-94609/home/659165,EBRD/CCAR/Bay East,40776347,Y,Y,37.8314889,-122.2645815
PAST SALE,May-25-2017,Single Family Residential,3780 Webster St,Oakland,CA,94609,825000,3,1.0,Mosswood,1179,3780,1908,16,700,,Sold,,,http://www.redfin.com/CA/Oakland/3780-Webster-St-94609/home/528171,EBRD/CCAR/Bay East,40776116,N,Y,37.8261587,-122.2611946
PAST SALE,May-26-2017,Single Family Residential,387 45Th St,Oakland,CA,94609,1025000,2,1.0,Temescal,1145,2900,1922,15,895,,Sold,,,http://www.redfin.com/CA/Oakland/387-45th-St-94609/home/528535,EBRD/CCAR/Bay East,40777492,N,Y,37.833189,-122.258427
